jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,zpdiff,sys_unc_factor,poor_conditions
2459280.840162,7.684070372966317,6.258661856667216,ZTF_i,2,4780623,25.7056,0.989422306196904,0
2459290.8948958,-1.4663990643187506,2.7791663393395654,ZTF_r,1,4780622,26.3791,0.9871218263213513,1
2459290.9219907,0.19515309893524196,2.4085319722377605,ZTF_g,1,4780621,26.357,1.0,0
2459292.8949421,0.19315847201969277,2.502079868092635,ZTF_r,1,4780622,26.3232,0.9871218263213513,0
2459292.9058796,1.7470887936501465,4.313591673107242,ZTF_i,2,4780623,25.7569,0.989422306196904,0
2459292.9344444,-3.3216939810342776,2.581554374717093,ZTF_g,1,4780621,26.2918,1.0,0
2459295.8885185,-5.154837007842165,4.400166630787744,ZTF_r,1,4780622,26.2917,0.9871218263213513,0
2459296.9085301,12.152247612196014,9.774412837994266,ZTF_i,2,4780623,25.7304,0.989422306196904,0
2459297.8534259,-0.4042425688701107,5.991991586709436,ZTF_g,1,4780621,26.294,1.0,0
2459297.8831019,-3.5352174533757252,4.768143301206784,ZTF_r,1,4780622,26.325,0.9871218263213513,0
2459300.8737847,3.0114294698293658,11.586838419730885,ZTF_g,1,4780621,26.2852,1.0,0
2459300.8747222,-1.6879606082988319,11.002231915480781,ZTF_g,3,4780621,26.3118,1.0,0
2459300.9158449,8.515679101576724,12.109326116801608,ZTF_r,3,4780622,26.3345,0.9871218263213513,0
2459300.9167824,-7.781046300661338,12.352801654709214,ZTF_r,1,4780622,26.3329,0.9871218263213513,0
2459301.8812731,2.8006569920603206,9.726941528666782,ZTF_r,3,4780622,26.3688,0.9871218263213513,0
2459301.9564352,7.181809727736308,14.096571270243068,ZTF_g,3,4780621,26.352,1.0,0
2459302.8375347,10.887730690009779,13.691528628219512,ZTF_g,1,4780621,26.3234,1.0,0
2459302.9198727,16.704985193215126,10.134174671095803,ZTF_r,1,4780622,26.3743,0.9871218263213513,0
2459304.878912,-8.34341874543711,20.40657187693453,ZTF_r,1,4780622,26.3612,0.9871218263213513,1
2459304.8798495,7.6533250450957455,16.274902742329886,ZTF_r,3,4780622,26.3508,0.9871218263213513,0
2459304.9135532,7.541281861591528,16.59293671521064,ZTF_g,1,4780621,26.3305,1.0,0
2459304.9145023,-37.63595496996372,18.093499204449003,ZTF_g,3,4780621,26.3447,1.0,1
2459306.8925231,5.624216457506745,5.9686365772512335,ZTF_i,2,4780623,25.8085,0.989422306196904,0
2459307.8572917,0.25757259114782954,3.3845434751750654,ZTF_r,1,4780622,26.2816,0.9871218263213513,0
2459307.8793519,1.24960695063789,3.661231087218298,ZTF_g,1,4780621,26.3705,1.0,0
2459309.8379167,0.5348362612346137,2.4773407752047865,ZTF_g,1,4780621,26.3215,1.0,0
2459309.8789352,-3.973992277386065,3.2091038643055776,ZTF_r,1,4780622,26.3397,0.9871218263213513,0
2459310.8512731,-34.70816775212065,50.74850958058552,ZTF_i,2,4780623,23.2432,0.989422306196904,1
2459311.8179745,0.9654777502118236,2.816546720435692,ZTF_r,1,4780622,26.3367,0.9871218263213513,0
2459311.8596065,-3.900397424104848,2.576840463974286,ZTF_g,1,4780621,26.3362,1.0,0
2459313.7903241,2.233759764848102,4.546504847517679,ZTF_g,1,4780621,25.9281,1.0,0
2459313.8299421,8.555445913432335,5.270065639248634,ZTF_i,2,4780623,25.7866,0.989422306196904,0
2459315.8328009,-3.324735441401658,6.850634807846114,ZTF_g,1,4780621,25.191,1.0,1
2459315.8523843,-10.544337392173556,16.957132376219388,ZTF_r,1,4780622,24.7801,0.9871218263213513,1
2459316.7659606,0.8491186410557112,6.078906132261982,ZTF_i,2,4780623,25.7304,0.989422306196904,0
2459317.791331,0.4662505407553208,2.340935292065491,ZTF_g,1,4780621,26.2697,1.0,1
2459317.902338,-2.738715827065223,2.2838895980016325,ZTF_r,1,4780622,26.3401,0.9871218263213513,0
2459319.7940856,-7.796190992810105,6.142884905115478,ZTF_r,3,4780622,26.3065,0.9871218263213513,1
2459319.7945486,-2.5805150326575674,5.484363950404527,ZTF_r,3,4780622,26.309,0.9871218263213513,1
2459319.7950231,-10.836266803209535,6.730867898444931,ZTF_r,3,4780622,26.3106,0.9871218263213513,1
2459319.7954977,-10.02060091969168,7.1153462031837895,ZTF_r,3,4780622,26.3089,0.9871218263213513,1
